127.0.0.1 - - [05/May/2018:10:19:46 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/May/2018:10:19:54 +0530] "POST /CollaborationController/addUser HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [05/May/2018:10:22:09 +0530] "POST /CollaborationController/addUser HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [05/May/2018:10:22:33 +0530] "POST /CollaborationController/addUser HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [05/May/2018:10:25:02 +0530] "POST /CollaborationController/addUser HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [05/May/2018:10:27:12 +0530] "POST /CollaborationController/addUser HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [05/May/2018:10:27:32 +0530] "POST /CollaborationController/addUser HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/May/2018:10:30:17 +0530] "POST /CollaborationController/addUser HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [05/May/2018:10:31:37 +0530] "POST /CollaborationController/updateUser HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [05/May/2018:10:32:43 +0530] "POST /CollaborationController/addUser HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [05/May/2018:10:33:11 +0530] "POST /CollaborationController/deleteByUserName-AAAA HTTP/1.1" 405 1115
0:0:0:0:0:0:0:1 - - [05/May/2018:10:33:21 +0530] "GET /CollaborationController/deleteByUserName-AAAA HTTP/1.1" 405 1114
0:0:0:0:0:0:0:1 - - [05/May/2018:10:33:36 +0530] "DELETE /CollaborationController/deleteByUserName-AAAA HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/May/2018:10:52:55 +0530] "POST /CollaborationController/addJob HTTP/1.1" 200 405
