127.0.0.1 - - [14/Jun/2018:08:39:50 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationFrontEnd/mainApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationFrontEnd/c_friend/FriendController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationFrontEnd/c_friend/FriendService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationFrontEnd/c_event/EventController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationFrontEnd/c_event/EventService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationFrontEnd/c_resources//images/Koffi HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationController/viewSentRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationController/viewPendingRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:39:52 +0530] "GET /CollaborationController/myFriends HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:41:46 +0530] "GET /c_resources/images/forum2.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:41:46 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:41:46 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:41:48 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:41:48 +0530] "GET /c_resources/images/forum2.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:41:48 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:11 +0530] "POST /CollaborationController/addForum HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:18 +0530] "GET /c_resources/images/forum2.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:18 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:18 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:21 +0530] "GET /CollaborationFrontEnd/c_admin/adminHome.html HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:21 +0530] "GET /c_resources/images/admin7.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:21 +0530] "GET /CollaborationFrontEnd/c_resources/img/h1.png HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:27 +0530] "GET /CollaborationFrontEnd/c_admin/manageForums.html HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:27 +0530] "GET /CollaborationController/viewApplications HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:27 +0530] "GET /CollaborationFrontEnd/c_resources/images/admin.jpg HTTP/1.1" 200 566803
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:27 +0530] "GET /CollaborationController/getEvents HTTP/1.1" 500 3975
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:27 +0530] "GET /CollaborationController/admin_getAllBlogs HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:27 +0530] "GET /CollaborationController/viewAllForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:27 +0530] "GET /CollaborationController/getAllUserList HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:27 +0530] "GET /CollaborationFrontEnd/c_resources/images/white.jpg HTTP/1.1" 200 55745
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:36 +0530] "GET /c_resources/images/forum2.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:36 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:36 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:37 +0530] "GET /c_resources/images/forum2.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:37 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:37 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:44 +0530] "POST /CollaborationController/addForum HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:46 +0530] "GET /c_resources/images/forum2.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:46 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:46 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:49 +0530] "GET /c_resources/images/admin7.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:50 +0530] "GET /CollaborationController/viewApplications HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:50 +0530] "GET /CollaborationController/getEvents HTTP/1.1" 500 3975
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:50 +0530] "GET /CollaborationController/admin_getAllBlogs HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:50 +0530] "GET /CollaborationController/viewAllForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:50 +0530] "GET /CollaborationController/getAllUserList HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:36 +0530] "GET /c_resources/images/forum2.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:36 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:36 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:39 +0530] "GET /CollaborationController/getForum-10001 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:39 +0530] "GET /CollaborationController/getForumReplies-10001 HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:39 +0530] "GET /CollaborationFrontEnd/c_resources/images/Koffi HTTP/1.1" 200 53637
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:39 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 166
