127.0.0.1 - - [02/Jul/2018:00:07:24 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:28 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_resources/css/my.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_resources/css/theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_resources/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/mainApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_resources/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_resources/js/sockjs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_resources/js/stomp.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_user/UserListController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_forum/ForumService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_forum/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_friend/FriendController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_friend/FriendService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_admin/AdminController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_event/EventService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_admin/AdminService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_event/EventController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:30 +0530] "GET /CollaborationFrontEnd/c_chat/ChatService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:31 +0530] "GET /CollaborationFrontEnd/c_chat/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:31 +0530] "GET /CollaborationController/viewPendingRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:31 +0530] "GET /CollaborationController/myFriends HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:31 +0530] "GET /CollaborationFrontEnd/views/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:31 +0530] "GET /CollaborationController/viewSentRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:31 +0530] "GET /CollaborationFrontEnd/c_resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:31 +0530] "GET /CollaborationFrontEnd/c_resources/images/isOffline.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:31 +0530] "GET /CollaborationFrontEnd/c_resources/images/back3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:31 +0530] "GET /CollaborationFrontEnd/c_resources/images/logo4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:31 +0530] "GET /CollaborationFrontEnd/c_resources/images/isOnline.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:07:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:08:00 +0530] "GET /CollaborationFrontEnd/c_user/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:08:00 +0530] "GET /c_resources/css/bootstrap.min.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:08:00 +0530] "GET /c_resources/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:08:00 +0530] "GET /CollaborationFrontEnd/c_resources/images/Background-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:08:02 +0530] "GET /CollaborationFrontEnd/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:08:02 +0530] "GET /CollaborationFrontEnd/c_resources/images/login5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:08:15 +0530] "POST /CollaborationController/login HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:08:15 +0530] "GET /CollaborationFrontEnd/c_resources//images/Koffi HTTP/1.1" 200 53637
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:18 +0530] "GET /CollaborationFrontEnd/c_job/jobs.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:18 +0530] "GET /CollaborationFrontEnd/c_resources/images/job1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:18 +0530] "GET /CollaborationFrontEnd/c_resources/img/h1.png HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:18 +0530] "GET /CollaborationController/getAllJobs HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:18 +0530] "GET /CollaborationController/viewMyJobs HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:18 +0530] "GET /CollaborationFrontEnd/c_resources/images/white.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:19 +0530] "GET /CollaborationFrontEnd/c_event/viewEvents.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:19 +0530] "GET /CollaborationFrontEnd/c_resources/images/event2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:19 +0530] "GET /CollaborationController/getEvents HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:21 +0530] "GET /CollaborationFrontEnd/c_user/userList.html HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:21 +0530] "GET /CollaborationController/getAllUserList HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:21 +0530] "GET /CollaborationFrontEnd/c_resources/images/Mala HTTP/1.1" 200 108519
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:21 +0530] "GET /CollaborationFrontEnd/c_resources/images/Ben HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:23 +0530] "GET /CollaborationFrontEnd/c_forum/forums.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:23 +0530] "GET /c_resources/images/forum1.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:23 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:23 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:24 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:24 +0530] "GET /c_resources/images/blog11.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:24 +0530] "GET /CollaborationController/admin_getAllBlogs HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:24 +0530] "GET /c_resources/images/white.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [02/Jul/2018:00:37:30 +0530] "GET /CollaborationController/logout/ HTTP/1.1" 200 318
